000509.9 +451345 -0.012 -0.018  6.70
000503.8 -003011 +0.045 -0.060  6.29
000520.1 -054227 -0.009 +0.089  4.61
000542.0 +132346 +0.045 -0.012  5.51
000616.0 +582612 +0.263 +0.030  5.96
000619.0 -490430 +0.565 -0.038  5.70
000626.5 +641146 +0.008  0.000  5.59
000636.8 +290117 +0.380 -0.182  6.13
000650.1 -230627 +0.100 -0.045  6.18
000718.2 -172311 -0.018 +0.036  6.19
000744.1 -023256 +0.027 -0.002  6.43
000746.8 -223032 +0.052 -0.044  5.94
000803.5 -333146 -0.037  0.000  5.68
000812.1 -022652 +0.009 -0.003  6.07
000823.3 +290526 +0.136 -0.163  2.06 ALPHERATZ
000817.4 -084926 -0.052 -0.033  5.99
000841.0 +363736 -0.100 -0.145  6.19
000833.4 -173439  0.000 -0.025  6.06
000852.2 +252746 +0.114 +0.031  6.23
000920.2 +794253 +0.102 -0.027  6.01
000910.7 +590859 +0.525 -0.181  2.27 Caph
000902.4 +181243 +0.137 -0.024  5.53
000902.4 -540007 +0.051 +0.016  6.33
000921.0 -275916 +0.072 -0.004  5.42
000924.7 -454451 +0.124 -0.181  3.88
001002.3 +110844 +0.041 -0.003  5.51
001019.3 +460420 +0.008  0.000  5.03
001029.7 +570956 +0.023 +0.006  6.74
001018.8 -051455 +0.036 -0.033  5.84
001002.1 -821326 -0.029 -0.020  5.28
001042.8 -123448 +0.150 -0.038  5.85
001038.6 -731328 +0.123 +0.016  6.64
001115.9 -152805 -0.077 -0.268  4.89
001134.4 -274759 +0.010 +0.016  5.41
001144.0 -350759 +0.173 +0.119  5.25
001159.1 +480909 +0.058 +0.017  6.16
001210.0 -175618 +0.056 -0.031  5.25
001250.4 +374136 +0.028 -0.012  6.73
001314.2 +151101 +0.003 -0.012  2.83 ALGENIB
001324.0 +265914 -0.008 -0.047  6.30
001330.8 +410207 -0.123 -0.148  5.72
001342.1 -260119 +0.026 -0.069  5.94
001344.2 -261705 -0.020 +0.012  6.31
001402.3 +331222 -0.006 -0.018  6.25
001436.2 +201224 +0.093  0.000  4.80
001427.6 -074650 +0.059 +0.004  5.12
001319.4 -845939 +0.004 +0.008  5.77
001438.4 -185558 -0.024 -0.067  4.44
001456.1 +221703 +0.065 -0.011  6.24
001458.8 +084915 +0.097 -0.028  5.79
001454.5 -093411 +0.028 -0.011  5.75
001507.0 +313209 +0.035 -0.005  6.45
001510.6 +271659 +0.021 -0.031  6.35
001458.2 -345416 +0.073 -0.023  6.17
001614.0 +765703 +0.018 -0.002  6.35
001621.6 +433541 +0.043 -0.030  6.15
001608.9 -312647 +0.122 -0.030  5.67
001555.2 -755441 -0.013 +0.006  6.49
001634.1 +081424 -0.020 -0.019  6.11
001657.1 +613200 -0.001 -0.001  5.74
001642.5 -201238 +0.012 -0.014  6.47
001709.1 +475651 +0.008  0.000  5.89
001705.5 +384054 -0.050 -0.019  4.61
001649.0 -784650 +0.077 -0.043  6.77
001743.0 +512559 -0.005 -0.004  6.14
001732.6 -190304 +0.015 +0.003  6.45
001747.7 +014120 +0.095 +0.012  6.17
001819.7 +364707 -0.063 -0.041  4.52
001817.2 +111221 -0.036 -0.038  6.05
001842.1 +434728 +0.020 -0.003  6.11
001838.3 +313102 +0.058 -0.006  5.87
001841.8 -080310 +0.413 -0.139  6.46
001842.6 -431407 +0.056 +0.012  6.33
001925.7 -084926 -0.014 -0.036  3.56 Deneb Kaitos Shemali
001941.6 +404347 -0.026 -0.010  6.33
002005.2 +485155 +0.005 -0.017  6.52
002004.3 -645229 +1.705 +1.164  4.23
002024.4 +305609 +0.021 +0.004  5.90
002045.5 +325441 -0.026 -0.014  5.79
002035.9 +081125 -0.002 +0.008  5.37
002054.5 +105837 -0.046 -0.028  6.56
002107.3 +375807 +0.060 -0.040  5.18
002039.0 -693730 -0.007  0.000  5.51
002131.2 -285854 +0.040 -0.074  5.18
002146.3 -200328 +0.071 -0.005  5.12
002225.5 +132857 +0.062 +0.021  6.23
002128.6 -772537 +0.002 -0.010  5.97
002251.8 -121234 +0.394 +0.061  6.39
002312.6 -310210 +0.029 -0.003  6.55
002402.0 +383438 -0.007 -0.023  7.39
002415.6 +520112 +0.013 -0.004  5.57

002447.5 +614952 +0.012 -0.001  5.40
002429.7 -021309 -0.033 -0.044  6.07

002506.4 +530249 +0.023 -0.002  5.74
002524.2 +015623 -0.013 -0.015  5.77
002545.1 -771515 +2.215 +0.324  2.80
002617.0 -421822 +0.203 -0.396  2.39 ANKAA
002612.2 -434048 +0.109 +0.029  3.94
002637.4 -000259 +0.073 -0.001  6.19
002714.7 -253250 +0.036 -0.019  5.98
002802.9 +175335 +0.117 +0.021  5.06
002813.7 +442340 +0.089 -0.016  5.17
002755.7 -330026 -0.019 -0.052  4.81
002812.7 +162642 +0.019 -0.015  6.06
002820.1 +101123 +0.046 -0.207  6.04
002821.1 -202006 -0.116 -0.114  6.43
002826.4 -395454 +0.130 -0.036  5.43
002856.6 +365400 -0.011 +0.003  6.26
002843.1 -503158 +0.150 -0.002  6.26
003055.0 +770110 +0.337 -0.038  6.21
003019.9 +595838 +0.017 -0.012  5.94
003007.3 +294506 +0.041 -0.054  5.23
002951.9 -145151 +0.144 -0.032  6.14
002948.9 -320700 -0.004 -0.054  6.57
003002.4 -035726 +0.011 -0.012  5.72
003022.7 -234716 -0.024 +0.013  5.19
003027.8 -405622 -0.001 +0.021  6.19
003026.1 -481254 +0.129 -0.088  5.69
003125.3 +663110 +0.023 -0.006  6.18
003125.6 +333454 +0.047 -0.019  5.87
003146.4 +543120 +0.045 -0.010  4.73
003141.2 +525022 -0.053 -0.019  5.60
003125.0 -484813 +0.143 +0.017  4.77
003132.7 -625729 +0.090 -0.054  4.37
003133.6 -625757 +0.101 -0.056  4.54
003226.8 +432941 +0.018 -0.010  6.70
003319.3 +705854 +0.028 -0.004  6.42
003300.0 +625554 +0.003 -0.003  4.16
003235.5 +201740 +0.135 -0.047  5.38
003223.8 +065720 +0.035 +0.002  5.67
003234.5 +273450 -0.017 -0.015  6.67
003249.1 +281649 -0.006 +0.007  6.30
003310.4 +545342 +0.071 -0.042  5.93
003243.8 -630152 +0.081 -0.038  5.09
003424.9 +664501 +0.021  0.000  6.48
003341.1 -293330 -0.026 -0.030  5.55
003323.3 -711558 +0.067 -0.012  6.13
003427.8 -522223 +0.230 +0.032  5.57
003455.3 +132216 -0.090 -0.057  6.40
003514.9 -033534 +0.413 -0.026  5.20
003532.8 -003020 +0.146 -0.066  5.93
003608.3 +541007 +0.022  0.000  5.08
003554.7 +131224 -0.143 -0.189  6.41
003627.3 +601934 -0.001 -0.003  5.79
003541.1 -480003 +0.045 -0.104  5.51
003533.4 -544919 +0.027 -0.054  6.06
003620.0 +271517 +0.011 -0.016  6.50
003603.0 -145825 -0.083 -0.079  6.45
003606.9 -225033 -0.072 -0.052  6.06
003646.6 +442919 -0.023 +0.033  5.13
